Nom du projet,Adresse du projet,Code postal,Nombre d'arbres,Saison de plantation,Type d'école,Nom de l'école,Geo_shape,Geo_point_2d,Moyenne du nombre d'arbres,Médiane du nombre d'arbres,Ecart type du nombre d'arbres,Minimum du nombre d'arbres,Maximum du nombre d'arbres,Moyenne du nombre d'arbres plantés pour les écoles maternelles,Moyenne du nombre d'arbres plantés pour les écoles élémentaires,Moyenne du nombre d'arbres plantés pour les écoles polyvalentes,Moyenne du nombre d'arbres plantés pour les écoles maternelles et crèches,Moyenne du nombre d'arbres plantés pour les centres de ressources d'éducation à l'env
VERGER EM LACHAMBEAUDIE (2),2 PLACE LACHAMBEAUDIE,75012,10,2016 - 2017,Ecole maternelle,Ecole maternelle Lachambeaudie,"{""coordinates"": [2.386752191388981, 48.83537717813326], ""type"": ""Point""}","48.83537717813326, 2.386752191388981",,,,,,,,,,
VERGER EM ROQUETTE (144),144 RUE DE LA ROQUETTE,75011,6,2016 - 2017,Ecole maternelle,Ecole maternelle Roquette,"{""coordinates"": [2.3828318861324345, 48.8577412834448], ""type"": ""Point""}","48.8577412834448, 2.3828318861324345",,,,,,,,,,
VERGER EE TURENNE (54),54 RUE DE TURENNE,75003,5,2015 - 2016,Ecole élémentaire,Ecole élémentaire Turenne,"{""coordinates"": [2.365040525539838, 48.85856954817847], ""type"": ""Point""}","48.85856954817847, 2.365040525539838",,,,,,,,,,
VERGER EM PAUL GERVAIS (2),2 RUE PAUL GERVAIS,75013,10,2018 - 2019,Ecole maternelle,Ecole maternelle Paul Gervais,"{""coordinates"": [2.347303014666876, 48.83151583045396], ""type"": ""Point""}","48.83151583045396, 2.347303014666876",,,,,,,,,,
VERGER EM TELEGRAPHE (29),29 RUE DU TELEGRAPHE,75020,6,2019 - 2020,Ecole maternelle,Ecole maternelle Télégraphe,"{""coordinates"": [2.3987710286721367, 48.87351531468055], ""type"": ""Point""}","48.87351531468055, 2.3987710286721367",,,,,,,,,,
VERGER EM TCHAIKOVSKI (7),7 RUE TCHAIKOVSKI,75018,4,2015 - 2016,Ecole maternelle,Ecole maternelle Tchaikovski,"{""coordinates"": [2.3641323745873524, 48.89409165266981], ""type"": ""Point""}","48.89409165266981, 2.3641323745873524",,,,,,,,,,
VERGER EP FRERES VOISIN (3) - Phase 2,3 BOULEVARD DES FRERES VOISIN,75015,6,2015 - 2016,Ecole polyvalente,Ecole polyvalente des freres Voisin,"{""coordinates"": [2.2686651867657273, 48.82876318883347], ""type"": ""Point""}","48.82876318883347, 2.2686651867657273",,,,,,,,,,
VERGER EE FRANCOIS COPPEE (14),14 RUE FRANCOIS COPPEE,75015,7,2015 - 2016,Ecole élémentaire,Ecole élémentaire François Coppee,"{""coordinates"": [2.287885665902197, 48.83953491569097], ""type"": ""Point""}","48.83953491569097, 2.287885665902197",,,,,,,,,,
VERGER EM CEPRE (13),13 RUE CEPRE,75015,12,2017 - 2018,Ecole maternelle,Ecole maternelle Cépré,"{""coordinates"": [2.3029021362891977, 48.84648101174682], ""type"": ""Point""}","48.84648101174682, 2.3029021362891977",,,,,,,,,,
VERGER EM VANDREZANNE (40),40 RUE VANDREZANNE,75013,9,2017 - 2018,Ecole maternelle,Ecole maternelle Vandrezanne,"{""coordinates"": [2.3534614807246843, 48.82810045421728], ""type"": ""Point""}","48.82810045421728, 2.3534614807246843",,,,,,,,,,
VERGER CREE CORVISART (40),40 RUE CORVISART,75013,3,2018 - 2019,Centre de ressources d'éducation à l'env,Centre de ressources d'éducation à l'environnement Corvisart,"{""coordinates"": [2.3471715296707982, 48.831843325956875], ""type"": ""Point""}","48.831843325956875, 2.3471715296707982",,,,,,,,,,
VERGER EE IVRY A (47),47 AVENUE D IVRY,75013,15,2018 - 2019,Ecole élémentaire,Ecole élémentaire A Ivry,"{""coordinates"": [2.3652096208354814, 48.82251389229585], ""type"": ""Point""}","48.82251389229585, 2.3652096208354814",,,,,,,,,,
VERGER EP AUBERVILLIERS (132),132 RUE D'AUBERVILLIERS,75019,6,2019 - 2020,Ecole polyvalente,Ecole polyvalente Aubervilliers,"{""coordinates"": [2.3699765354255358, 48.89140186116477], ""type"": ""Point""}","48.89140186116477, 2.3699765354255358",,,,,,,,,,
VERGER EE ALEXANDRE DUMAS (39),39 RUE ALEXANDRE DUMAS,75011,19,2015 - 2016,Ecole élémentaire,Ecole élémentaire Alexandre Dumas,"{""coordinates"": [2.393329376566766, 48.85391552854547], ""type"": ""Point""}","48.85391552854547, 2.393329376566766",,,,,,,,,,
VERGER EE EUGENIE COTTON (16) A et B,16 RUE EUGENIE COTTON,75019,12,2015 - 2016,Ecole élémentaire,Ecole élémentaire Eugenie Cotton,"{""coordinates"": [2.394345122511339, 48.8782184910514], ""type"": ""Point""}","48.8782184910514, 2.394345122511339",,,,,,,,,,
